Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
Dani Brzozowski,D,35.2,Illinois,16,False,False,"459,344","376,167"
Cheri Bustos,D,52.0,Illinois,17,True,True,"4,975,192","6,391,009"
Esther Joy,R,48.0,Illinois,17,False,False,"2,032,878","2,030,587"
Darin LaHood,R,70.5,Illinois,18,True,True,"3,248,113","1,749,128"
Frank Mrvan,D,56.6,Indiana,1,False,True,"578,635","464,407"
Mark Leyva,R,40.4,Indiana,1,False,False,"16,551","15,343"
Jackie Walorski,R,61.5,Indiana,2,True,True,"2,383,467","1,698,202"
Pat Hackett,D,38.5,Indiana,2,False,False,"881,888","867,301"
Jim Banks,R,67.8,Indiana,3,True,True,"1,202,509","769,591"
Chip Coldiron,D,32.2,Indiana,3,False,False,"94,056","89,883"
Jim Baird,R,66.6,Indiana,4,True,True,"327,727","190,158"
Joe Mackey,D,33.4,Indiana,4,False,False,"44,585","43,213"
Christina Hale,D,45.9,Indiana,5,False,False,"4,010,368","3,998,905"
Victoria Spartz,R,50.0,Indiana,5,False,True,"3,119,328","3,010,203"
Greg Pence,R,68.7,Indiana,6,True,True,"3,114,448","2,804,148"
Jeannine Lee,D,27.7,Indiana,6,False,False,"143,089","145,315"
Andre Carson,D,62.4,Indiana,7,True,True,"1,011,635","873,962"
Susan Marie,R,37.6,Indiana,7,False,False,"62,905","59,843"
Larry Bucshon,R,66.9,Indiana,8,True,True,"1,051,336","1,078,646"
Thomasina Marsili,D,29.8,Indiana,8,False,False,"68,734","68,480"
Trey Hollingsworth,R,60.9,Indiana,9,True,True,"1,166,754","501,136"
Andy Ruff,D,34.8,Indiana,9,False,False,"148,263","134,906"
Tonya Millis,L,4.3,Indiana,9,False,False,"10,224","10,041"
Joni Ernst,R,51.8,Iowa,2020,True,True,"30,345,910","29,945,779"
Theresa Greenfield,D,45.2,Iowa,2020,False,False,"55,592,603","55,562,367"
Suzanne Herzog,I,0.8,Iowa,2020,False,False,"18,300","18,300"
Rick Stewart,L,2.2,Iowa,2020,False,False,"8,820","16,093"
Abby Finkenauer,D,48.7,Iowa,1,True,False,"5,901,441","5,875,405"
Ashley Hinson,R,51.3,Iowa,1,False,True,"5,175,883","5,059,211"
Rita Hart,D,50.0,Iowa,2,False,False,"4,232,992","4,114,400"
Mariannette Miller-Meeks,R,50.0,Iowa,2,False,True,"2,174,194","1,721,926"
Cindy Axne,D,49.0,Iowa,3,True,True,"6,236,976","6,236,994"
David Young,R,47.6,Iowa,3,False,False,"3,170,072","3,094,582"
J.D. Scholten,D,62.1,Iowa,4,False,False,"2,885,915","2,902,003"
Randy Feenstra,R,37.9,Iowa,4,False,True,"1,906,234","1,894,288"
Barbara Bollier,D,41.6,Kansas,2020,False,False,"28,662,913","28,499,933"
Roger Marshall,R,53.5,Kansas,2020,False,True,"6,609,476","7,007,803"
Tracey Mann,R,71.4,Kansas,1,False,True,"1,403,353","1,127,156"
Kali Barnett,D,28.6,Kansas,1,False,False,"603,036","592,924"
Michelle De,D,40.5,Kansas,2,False,False,"1,825,085","1,810,968"
Jake Laturner,R,55.3,Kansas,2,False,True,"1,593,407","1,578,460"
Sharice Davids,D,53.4,Kansas,3,True,True,"5,638,552","5,168,034"
Amanda Adkins,R,43.8,Kansas,3,False,False,"2,182,382","2,139,673"
Ron Estes,R,64.0,Kansas,4,True,True,"1,993,808","1,420,188"
Laura Lombard,D,36.0,Kansas,4,False,False,"264,459","258,684"
Mitch McConnell,R,57.8,Kentucky,2020,True,True,"71,351,350","64,787,889"
Amy McGrath,D,38.2,Kentucky,2020,False,False,"94,120,557","90,775,744"
Brad Barron,L,4.0,Kentucky,2020,False,False,"112,187","16,601"
James Comer,R,75.0,Kentucky,1,True,True,"736,116","502,554"
Brett Guthrie,R,71.0,Kentucky,2,True,True,"1,412,797","1,566,622"
Hank Linderman,D,26.3,Kentucky,2,False,False,"93,388","71,122"
Robert Lee,L,2.1,Kentucky,2,False,False,"12,798","7,825"
John Yarmuth,D,62.7,Kentucky,3,True,True,"658,295","690,226"
Rhonda Palazzo,R,37.3,Kentucky,3,False,False,"46,144","45,668"
Thomas Massie,R,67.1,Kentucky,4,True,True,"1,457,316","1,563,275"
Alexandra Owensby,D,32.9,Kentucky,4,False,False,"156,174","106,359"
Hal Rogers,R,84.2,Kentucky,5,True,True,"664,168","835,781"
Andy Barr,R,57.3,Kentucky,6,True,True,"4,536,264","4,316,239"
Josh Hicks,D,41.0,Kentucky,6,False,False,"2,936,320","2,935,615"
Bill Cassidy,R,59.3,Louisiana,2020,True,True,"11,304,150","10,558,926"
Adrian Perkins,D,19.0,Louisiana,2020,False,False,"2,725,722","2,570,823"
Peter Wenstrup,D,0.7,Louisiana,2020,False,False,"160,339","148,632"
Dartanyon Williams,D,2.6,Louisiana,2020,False,False,"111,316","98,114"
Antoine Pierce,D,1.9,Louisiana,2020,False,False,"100,627","54,892"
Derrick Edwards,D,0.8,Louisiana,2020,False,False,"41,702","37,897"
Dustin Murphy,R,0.8,Louisiana,2020,False,False,"12,765","8,694"
Beryl Billiot,I,0.6,Louisiana,2020,False,False,"6,375","6,375"
John Paul,I,0.0,Louisiana,2020,False,False,"3,500","3,400"
Aaron Sigler,L,0.0,Louisiana,2020,False,False,"3,298","2,647"
Steve Scalise,R,72.2,Louisiana,1,True,True,"37,262,827","32,830,607"
Cedric Richmond,D,63.6,Louisiana,2,True,True,"1,628,289","1,302,079"
Clay Higgins,R,67.8,Louisiana,3,True,True,"751,498","720,424"
Robert Jon,D,11.6,Louisiana,3,False,False,"63,617","48,015"
Braylon Harris,D,17.9,Louisiana,3,False,False,"23,006","15,130"
Mike Johnson,R,60.4,Louisiana,4,True,True,"1,299,787","1,039,393"
Kenny Houston,D,25.5,Louisiana,4,False,False,"33,677","33,407"
Luke Letlow,R,0.0,Louisiana,5,False,False,"1,392,822","1,303,757"
Lance Harris,R,0.0,Louisiana,5,False,False,"696,805","687,833"
Martin Lemelle,D,0.0,Louisiana,5,False,False,"173,796","162,747"
Scotty Robinson,R,0.0,Louisiana,5,False,False,"113,903","113,835"
Candy Christophe,D,0.0,Louisiana,5,False,False,"77,101","131,161"
Phillip Snowden,D,0.0,Louisiana,5,False,False,"29,481","28,077"
Matthew Hasty,R,0.0,Louisiana,5,False,False,"2,654","2,615"
Garret Graves,R,71.1,Louisiana,6,True,True,"1,743,015","1,200,287"
Dartanyon Williams,D,25.6,Louisiana,6,False,False,"111,316","98,114"
Susan Collins,R,51.1,Maine,2020,True,True,"29,967,118","29,600,689"
Sara Gideon,D,42.2,Maine,2020,False,False,"74,498,517","62,939,062"
Max Linn,I,1.7,Maine,2020,False,False,"505,540","490,653"
Lisa Savage,3,5.0,Maine,2020,False,False,"208,800","197,255"
Chellie Pingree,D,61.5,Maine,1,True,True,"487,080","264,790"
Jay Allen,R,38.5,Maine,1,False,False,"79,585","69,853"
Jared Golden,D,52.9,Maine,2,True,True,"5,272,142","5,233,990"
Dale Crafts,R,47.1,Maine,2,False,False,"1,199,805","1,196,117"
Andy Harris,R,63.5,Maryland,1,True,True,"1,468,096","973,953"
Mia Mason,D,36.3,Maryland,1,False,False,"2,524",0
Dutch Ruppersberger,D,67.2,Maryland,2,True,True,"1,012,835","927,353"
Johnny Ray,R,32.6,Maryland,2,False,False,"68,320","66,895"
John Sarbanes,D,69.5,Maryland,3,True,True,"573,599","687,299"
Charles Anthony,R,30.3,Maryland,3,False,False,"7,798","6,742"
Anthony Brown,D,79.3,Maryland,4,True,True,"1,446,636","846,827"
Steny H,D,68.5,Maryland,5,True,True,"4,587,189","4,342,255"
Chris Palombi,R,31.2,Maryland,5,False,False,"43,462","42,095"
David Trone,D,57.9,Maryland,6,True,True,"2,944,893","2,959,748"
Neil Parrott,R,40.2,Maryland,6,False,False,"315,936","261,259"
Kimberly Klacik,R,0.0,Maryland,7,False,False,"8,296,845","7,499,454"
Kweisi Mfume,D,0.0,Maryland,7,False,True,"1,014,126","713,389"
Kweisi Mfume,D,71.6,Maryland,7,True,True,"1,014,126","713,389"
Kimberly Klacik,R,28.1,Maryland,7,False,False,"8,296,845","7,499,454"
Amber Ivey,I,0.0,Maryland,7,False,False,"41,924","43,394"
Jamie Raskin,D,67.3,Maryland,8,True,True,"2,072,652","1,399,252"
Gregory Coll,R,32.5,Maryland,8,False,False,"30,876","27,257"
Ed Markey,D,66.2,Massachusetts,2020,True,True,"14,031,363","14,616,488"
Kevin O'Connor,R,33.0,Massachusetts,2020,False,False,"937,696","874,733"
Edward James,I,0.0,Massachusetts,2020,False,False,"5,625","4,966"
Richard E,D,96.5,Massachusetts,1,True,True,"4,949,384","5,873,122"
James P,D,65.3,Massachusetts,2,True,True,"1,052,549","1,089,412"
Tracy Lovvorn,R,34.6,Massachusetts,2,False,False,"26,311","22,319"
Lori Trahan,D,97.7,Massachusetts,3,True,True,"1,449,303","1,232,437"
Jake Auchincloss,D,60.8,Massachusetts,4,False,True,"2,608,686","2,150,904"
Julie Hall,R,38.9,Massachusetts,4,False,False,"131,603","129,378"
Katherine Clark,D,74.3,Massachusetts,5,True,True,"1,788,706","1,514,877"
Caroline Colarusso,R,25.6,Massachusetts,5,False,False,"148,635","146,972"
Seth Moulton,D,65.4,Massachusetts,6,True,True,"1,289,805","1,802,169"
John Paul,R,34.4,Massachusetts,6,False,False,"300,220","299,104"
Ayanna Pressley,D,86.6,Massachusetts,7,True,True,"2,163,370","1,748,432"
Stephen Lynch,D,80.7,Massachusetts,8,True,True,"905,614","1,134,662"
Bill Keating,D,61.3,Massachusetts,9,True,True,"708,680","652,448"
Helen Brady,R,36.3,Massachusetts,9,False,False,"28,233","23,735"
Gary Peters,D,49.9,Michigan,2020,True,True,"51,566,900","49,991,665"
John James,R,48.3,Michigan,2020,False,False,"48,616,697","47,513,284"
John Bergman,R,61.6,Michigan,1,True,True,"1,868,512","1,733,466"
Dana Ferguson,D,36.9,Michigan,1,False,False,"346,213","339,788"
Bill Huizenga,R,59.2,Michigan,2,True,True,"2,175,411","1,883,610"
Bryan Berghoef,D,38.2,Michigan,2,False,False,"751,576","669,864"
Jean-Michel Creviere,3,0.7,Michigan,2,False,False,281,"1,207"
Hillary Scholten,D,47.0,Michigan,3,False,False,"3,793,132","3,765,942"
Peter Meijer,R,53.0,Michigan,3,False,True,"2,975,972","2,887,774"
John Moolenaar,R,65.0,Michigan,4,True,True,"1,528,612","1,036,160"
Jerry Hilliard,D,32.4,Michigan,4,False,False,"23,117","23,603"
Dan Kildee,D,54.5,Michigan,5,True,True,"1,669,951","1,504,094"
Tim Kelly,R,41.7,Michigan,5,False,False,"71,106","71,106"
Fred Upton,R,55.8,Michigan,6,True,True,"3,616,380","3,464,617"
Jon Hoadley,D,40.1,Michigan,6,False,False,"3,116,491","3,098,366"
Tim Walberg,R,58.8,Michigan,7,True,True,"2,301,635","1,586,358"
Gretchen Driskell,D,41.3,Michigan,7,False,False,"1,712,840","1,712,840"
Elissa Slotkin,D,50.9,Michigan,8,True,True,"8,967,420","7,419,974"
Paul Junge,R,47.3,Michigan,8,False,False,"2,107,608","2,097,131"
Andy Levin,D,57.8,Michigan,9,True,True,"1,316,607","907,237"
Lisa McClain,R,66.3,Michigan,10,False,True,"2,266,287","2,137,031"
Kimberly Bizon,D,33.7,Michigan,10,False,False,"41,438","41,246"
Haley Stevens,D,50.2,Michigan,11,True,True,"5,776,924","5,707,448"
Eric Esshaki,R,47.8,Michigan,11,False,False,"1,298,612","1,291,509"
Debbie Dingell,D,66.4,Michigan,12,True,True,"1,630,498","1,689,582"
Jeff Jones,R,30.7,Michigan,12,False,False,"10,616","9,657"
Rashida Tlaib,D,77.9,Michigan,13,True,True,"4,014,411","3,690,334"
Donald Eason,I,0.0,Michigan,13,False,False,"34,156","34,156"
Brenda Lawrence,D,78.9,Michigan,14,True,True,"1,084,662","789,570"
Vance Patrick,R,18.7,Michigan,14,False,False,"39,670","41,973"
Tina Smith,D,48.7,Minnesota,2020,True,True,"16,273,914","15,905,941"
Jason Lewis,R,43.5,Minnesota,2020,False,False,"7,083,881","6,723,356"
Jim Hagedorn,R,48.6,Minnesota,01,True,True,"2,386,033","2,305,994"
Daniel Feehan,D,45.5,Minnesota,01,False,False,"4,861,651","4,863,835"
Angie Craig,D,48.2,Minnesota,02,True,True,"5,380,101","4,435,492"
Tyler Kistner,R,45.9,Minnesota,02,False,False,"2,990,054","2,956,042"
Dean Phillips,D,55.6,Minnesota,03,True,True,"2,328,616","2,152,031"
Kendall Qualls,R,44.3,Minnesota,03,False,False,"1,863,927","1,751,214"
Gary Heyer,I,0.0,Minnesota,03,False,False,827,827
Betty McCollum,D,63.2,Minnesota,04,True,True,"1,171,748","994,072"
Gene Rechtzigel,R,29.0,Minnesota,04,False,False,"20,075","20,075"
Ilhan Omar,D,64.3,Minnesota,05,True,True,"5,718,517","5,605,576"
Lacy Johnson,R,25.8,Minnesota,05,False,False,"12,050,564","12,000,896"
Chris Kelley,3,0.0,Minnesota,05,False,False,"249,583","249,583"
Ervan Katari,I,0.0,Minnesota,05,False,False,255,187
Tom Emmer,R,65.5,Minnesota,06,True,True,"2,804,265","2,537,612"
Tawnja Zahradka,D,34.3,Minnesota,06,False,False,"49,242","49,214"
Collin Peterson,D,39.9,Minnesota,07,True,False,"2,714,012","2,867,577"
Michelle Fischbach,R,53.4,Minnesota,07,False,True,"2,618,450","2,580,501"
Pete Stauber,R,56.7,Minnesota,08,True,True,"2,593,190","2,608,759"
Quinn Nystrom,D,37.6,Minnesota,08,False,False,"1,530,606","1,527,005"
Cindy Hyde-Smith,R,54.1,Mississippi,2020,True,True,"3,374,055","3,259,427"
Mike Espy,D,44.1,Mississippi,2020,False,False,"12,200,589","12,319,166"
Trent Kelly,R,68.7,Mississippi,01,True,True,"876,882","826,673"
Antonia Eliason,D,31.3,Mississippi,01,False,False,"22,281","18,174"
Bennie G,D,66.0,Mississippi,02,True,True,"1,377,392","1,096,904"
Michael Guest,R,64.7,Mississippi,03,True,True,"766,807","518,162"
Steven Palazzo,R,100.0,Mississippi,04,True,True,"817,129","747,217"
Cori Bush,D,78.8,Missouri,01,False,True,"1,418,014","1,333,512"
Ann Wagner,R,52.0,Missouri,02,True,True,"5,598,287","6,513,101"
Jill Schupp,D,45.4,Missouri,02,False,False,"4,850,948","4,830,434"
Blaine Luetkemeyer,R,69.4,Missouri,03,True,True,"2,022,905","2,081,391"
Vicky Hartzler,R,67.6,Missouri,04,True,True,"1,700,978","1,335,607"
Lindsey Simmons,D,29.7,Missouri,04,False,False,"395,934","384,622"
Emanuel Cleaver,D,58.5,Missouri,05,True,True,"1,393,847","928,061"
Ryan Derks,R,38.7,Missouri,05,False,False,"76,488","76,488"
Sam Graves,R,67.1,Missouri,06,True,True,"1,959,516","1,654,756"
Gena Ross,D,30.8,Missouri,06,False,False,"10,170","10,530"
Billy Long,R,68.7,Missouri,07,True,True,"1,320,420","1,518,234"
Audrey Richards,I,0.0,Missouri,07,False,False,"7,985","8,113"
Jason Smith,R,76.9,Missouri,08,True,True,"1,900,227","1,514,786"
Kathryn Ellis,D,21.4,Missouri,08,False,False,"302,428","305,387"
Steven Daines,R,55.0,Montana,2020,True,True,"32,792,199","33,543,538"
Steve Bullock,D,45.0,Montana,2020,False,False,"48,737,896","47,788,546"
Susan Good,L,0.0,Montana,2020,False,False,"2,447","2,447"
Kathleen Williams,D,43.6,Montana,01,False,False,"6,201,758","6,232,286"
Matt Rosendale,R,56.4,Montana,01,False,True,"3,674,706","3,488,045"
Ben Sasse,R,67.4,Nebraska,2020,True,True,"6,364,309","5,018,942"
Chris Janicek,D,26.2,Nebraska,2020,False,False,"144,666","126,459"
Jeff Fortenberry,R,59.5,Nebraska,01,True,True,"1,472,816","2,458,330"
Kate Bolz,D,37.7,Nebraska,01,False,False,"1,143,509","1,140,371"
Don Bacon,R,50.6,Nebraska,02,True,True,"3,749,272","3,713,961"
Kara Eastman,D,46.3,Nebraska,02,False,False,"4,414,390","4,468,006"
Adrian Smith,R,78.5,Nebraska,03,True,True,"1,506,473","1,148,409"
Mark Elworth,D,17.7,Nebraska,03,False,False,255,0
Dina Titus,D,61.8,Nevada,01,True,True,"706,193","587,919"
Mark Amodei,R,56.5,Nevada,02,True,True,"1,048,056","1,016,673"
Patricia Ackerman,D,40.7,Nevada,02,False,False,"449,363","449,449"
Susie Lee,D,48.8,Nevada,03,True,True,"4,748,019","4,732,009"
Dan Rodimer,R,45.8,Nevada,03,False,False,"2,936,059","2,915,216"
Steven Horsford,D,50.7,Nevada,04,True,True,"3,492,372","3,024,427"
Jim Marchant,R,45.8,Nevada,04,False,False,"1,462,772","1,419,405"
Jonathan Royce,L,2.4,Nevada,04,False,False,"2,788","1,603"
Jeanne Shaheen,D,56.7,New,Senate,True,True,"19,391,937","18,362,179"
Corky Messner,R,41.0,New,Senate,False,False,"4,068,749","4,010,449"
Justin O'Donnell,L,2.3,New,Senate,False,False,"6,240","4,853"
Chris Pappas,D,51.3,New,District,True,True,"3,205,731","3,105,663"
Matt Mowers,R,46.2,New,District,False,False,"1,707,214","1,698,761"
Ann Kuster,D,53.9,New,District,True,True,"2,960,033","2,970,274"
Steve Negron,R,43.7,New,District,False,False,"368,177","378,959"
Cory Booker,D,57.2,New,Senate,True,True,"15,366,762","10,326,636"
Rik Mehta,R,40.9,New,Senate,False,False,"586,706","586,153"
Veronica Fernandez,I,0.7,New,Senate,False,False,"12,633","12,633"
Daniel Burke,I,0.3,New,Senate,False,False,"7,220","7,100"
Madelyn Hoffman,3,0.9,New,Senate,False,False,"6,219","5,763"
Don Norcross,D,62.5,New,District,True,True,"2,221,989","1,087,264"
Claire Gustafson,R,37.5,New,District,False,False,"36,520","21,761"
Jeff Van,R,51.9,New,District,True,True,"4,229,171","4,041,493"
Amy Kennedy,D,46.2,New,District,False,False,"4,984,376","4,978,913"
Andy Kim,D,53.2,New,District,True,True,"7,241,283","6,753,262"
David Richter,R,45.5,New,District,False,False,"1,473,669","1,470,648"
Chris Smith,R,59.9,New,District,True,True,"1,383,085","1,284,522"
Stephanie Schmid,D,38.3,New,District,False,False,"699,580","658,011"
Josh Gottheimer,D,53.2,New,District,True,True,"7,694,027","3,487,964"
Frank Pallotta,R,45.6,New,District,False,False,"1,972,033","1,948,705"
Louis A.,I,1.2,New,District,False,False,"5,456","5,342"
Frank Pallone,D,61.2,New,District,True,True,"3,231,755","2,021,737"
Tom Malinowski,D,50.6,New,District,True,True,"7,414,403","7,423,758"
Tom Kean,R,49.4,New,District,False,False,"3,869,121","3,775,442"
Albio Sires,D,74.0,New,District,True,True,"605,810","551,325"
Bill Pascrell,D,65.8,New,District,True,True,"1,560,550","1,795,410"
Billy Prempeh,R,31.9,New,District,False,False,"44,269","35,075"
Donald M,D,83.3,New,District,True,True,"593,735","457,252"
Mikie Sherrill,D,53.3,New,District,True,True,"6,419,707","3,733,106"
Rosemary Becchi,R,46.7,New,District,False,False,"1,687,532","1,686,236"
Bonnie Watson,D,65.6,New,District,True,True,"798,439","840,651"
Mark Razzoli,R,32.6,New,District,False,False,"3,065","1,142"
Ben Ray,D,51.7,New,Senate,False,True,"9,083,639","9,385,025"
Mark Ronchetti,R,45.6,New,Senate,False,False,"3,936,338","3,925,526"
Bob Walsh,L,2.7,New,Senate,False,False,"8,326","6,895"
Debra Haaland,D,58.1,New,District,True,True,"2,246,734","1,875,766"
Michelle Garcia,R,41.9,New,District,False,False,"257,294","245,590"
Xochitl Torres,D,46.3,New,District,True,False,"8,387,337","8,539,065"
Yvette Herrell,R,53.7,New,District,False,True,"2,805,711","2,921,785"
Steve Jones,I,0.0,New,District,False,False,"9,405","9,505"
Teresa Leger,D,58.7,New,District,False,True,"2,296,594","2,132,010"
Alexis Johnson,R,41.3,New,District,False,False,"147,303","147,303"
Lee Zeldin,R,55.9,New,District,True,True,"8,396,981","8,250,116"
Nancy Goroff,D,44.1,New,District,False,False,"7,866,239","7,860,977"
Jackie Gordon,D,46.0,New,District,False,False,"4,351,881","4,334,484"
Andrew Garbarino,R,52.9,New,District,False,True,"1,743,986","1,612,132"
Harry Burger,3,1.0,New,District,False,False,"2,430",594
Tom Suozzi,D,53.2,New,District,True,True,"2,941,006","2,331,302"
George Santos,R,46.2,New,District,False,False,"658,883","591,239"
Joshua Sauberman,I,0.0,New,District,False,False,127,270
Kathleen Rice,D,52.0,New,District,True,True,"1,106,258","1,210,410"
Douglas Tuman,R,47.3,New,District,False,False,"134,937","130,995"
Ed Dennehy,I,0.0,New,District,False,False,"9,031","9,031"
Gregory Meeks,D,99.0,New,District,True,True,"2,097,572","1,467,454"
Amit Lal,I,0.0,New,District,False,False,126,0
Grace Meng,D,62.6,New,District,True,True,"1,292,084","1,872,311"
Thomas Zmich,R,37.4,New,District,False,False,"133,403","131,278"
Nydia Velazquez,D,83.0,New,District,True,True,"803,217","676,248"
Hakeem Jeffries,D,82.5,New,District,True,True,"4,168,717","3,293,077"
Yvette Clarke,D,81.5,New,District,True,True,"1,200,067","1,190,143"
Jerrold Nadler,D,68.5,New,District,True,True,"1,848,688","1,950,774"
Cathy Bernstein,R,30.1,New,District,False,False,"49,975","28,384"
Jeanne Nigro,I,1.2,New,District,False,False,"34,548","28,039"
Michael Madrid,L,0.0,New,District,False,False,"14,326","12,149"
Max Rose,D,42.0,New,District,True,False,"9,284,434","9,499,242"
Nicole Malliotakis,R,57.8,New,District,False,True,"3,469,995","3,447,052"
Kemi Akindude,I,0.0,New,District,False,False,"21,261","14,697"
Carolyn Maloney,D,78.9,New,District,True,True,"3,067,173","3,059,202"
Adriano Espaillat,D,86.0,New,District,True,True,"1,087,237","1,252,740"
Lovelynn Gwinn,R,8.0,New,District,False,False,"39,384","39,384"
Alexandria Ocasio-Cortez,D,68.7,New,District,True,True,"20,664,795","16,735,422"
John C.,R,30.5,New,District,False,False,"11,140,937","10,947,758"
Ritchie Torres,D,88.2,New,District,False,True,"2,194,025","1,804,336"
Jamaal Bowman,D,82.9,New,District,False,True,"2,878,898","2,801,424"
Mondaire Jones,D,54.1,New,District,False,True,"2,984,052","2,186,463"
Maureen McArdle,R,39.8,New,District,False,False,"54,732","60,084"
Michael Parietti,3,0.9,New,District,False,False,"44,787","19,670"
Sean Patrick,D,51.8,New,District,True,True,"2,556,294","1,718,525"
Chele Farley,R,47.3,New,District,False,False,"1,186,211","1,152,124"
Scott Smith,I,0.9,New,District,False,False,"8,718","8,403"
Antonio Delgado,D,51.5,New,District,True,True,"5,949,475","2,963,286"
Kyle Van,R,45.9,New,District,False,False,"153,796","120,097"
Paul Tonko,D,56.5,New,District,True,True,"1,541,984","1,418,994"
Elizabeth Joy,R,43.4,New,District,False,False,"370,852","336,845"
Elise Stefanik,R,64.4,New,District,True,True,"13,287,248","11,655,936"
Tedra Cobb,D,35.6,New,District,False,False,"5,586,793","5,593,266"
Anthony Brindisi,D,0.0,New,District,True,False,"6,020,190","5,772,429"
Claudia Tenney,R,0.0,New,District,False,False,"3,051,777","2,725,893"
Tom Reed,R,57.7,New,District,True,True,"3,275,177","3,145,027"
Tracy Mitrano,D,41.4,New,District,False,False,"1,450,322","1,466,128"
John Katko,R,53.1,New,District,True,True,"3,821,107","3,597,234"
Dana Balter,D,43.0,New,District,False,False,"3,212,469","3,230,808"
Joseph D,D,59.3,New,District,True,True,"1,375,366","1,274,426"
George Mitris,R,39.1,New,District,False,False,"301,376","279,047"
Kevin Wilson,L,1.5,New,District,False,False,"5,128","3,417"
Brian Higgins,D,69.8,New,District,True,True,"1,124,168","984,106"
Chris Jacobs,R,0.0,New,District,False,True,"2,147,101","2,084,271"
Nate McMurray,D,0.0,New,District,False,False,"1,150,058","1,097,111"
Duane Whitmer,L,0.0,New,District,False,False,"36,056","36,056"
Chris Jacobs,R,59.7,New,District,True,True,"2,147,101","2,084,271"
Nate McMurray,D,39.0,New,District,False,False,"1,150,058","1,097,111"
Duane Whitmer,L,1.3,New,District,False,False,"36,056","36,056"
Thom Tillis,R,48.7,North,Senate,True,True,"25,327,590","24,979,096"
Cal Cunningham,D,46.9,North,Senate,False,False,"51,249,732","51,076,028"
G K,D,54.2,North,District,True,True,"1,032,869","880,420"
Sandy Smith,R,45.8,North,District,False,False,"1,458,375","1,437,805"
Deborah Ross,D,63.0,North,District,False,True,"2,268,381","1,816,923"
Alan Swain,R,34.8,North,District,False,False,"119,664","119,435"
Japheth Matemu,L,2.2,North,District,False,False,625,54
Greg Murphy,R,0.0,North,District,False,True,"1,767,790","1,505,559"
Allen Thomas,D,0.0,North,District,False,False,"612,046","611,895"
Greg Murphy,R,63.4,North,District,True,True,"1,767,790","1,505,559"
David Price,D,67.3,North,District,True,True,"1,161,738","1,014,872"
Virginia Foxx,R,66.9,North,District,True,True,"1,858,388","1,944,629"
