,Candidate,Party,Vote Percentage,State,District,Incumbent,Winner,Money Raised,Money Spent
244,David Perdue,R,49.7,Georgia,2020,True,False,"102,253,913","89,886,197"
245,Jon Ossoff,D,48.0,Georgia,2020,False,True,"153,630,112","149,298,379"
246,Valencia Stovall,I,0,Georgia,2020,False,False,"23,107","23,107"
247,Allen Buckley,I,0,Georgia,2020,False,False,"14,097","14,097"
248,Raphael Warnock,D,0,Georgia,2020,False,False,"145,728,550","142,497,506"
249,Kelly Loeffler,R,0,Georgia,2020,True,False,"92,135,745","70,879,780"
250,Doug Collins,R,0,Georgia,2020,False,False,"6,705,461","6,684,689"
251,Matthew Lieberman,D,0,Georgia,2020,False,False,"1,339,527","1,337,326"
252,Ed Tarver,D,0,Georgia,2020,False,False,"285,234","282,834"
253,Wayne Johnson,R,0,Georgia,2020,False,False,"151,000","146,813"
254,Richard Dien,D,0,Georgia,2020,False,False,"61,020","55,517"
255,Tamara Johnson-Shealey,D,0,Georgia,2020,False,False,"59,891","64,259"
256,Derrick Grayson,R,0,Georgia,2020,False,False,"33,247","27,829"
257,Kandiss Taylor,R,0,Georgia,2020,False,False,"30,769","25,549"
258,Deborah Jackson,D,0,Georgia,2020,False,False,"19,089","20,502"
259,John Fortuin,3,0,Georgia,2020,False,False,"8,681","8,616"
260,Al Bartell,I,0,Georgia,2020,False,False,"7,754","7,822"
261,Brian Slowinski,L,0,Georgia,2020,False,False,"5,220","5,220"
262,Buddy Carter,R,58.4,Georgia,01,True,True,"2,315,487","1,734,754"
263,Joyce Griggs,D,41.7,Georgia,01,False,False,"130,043","125,000"
264,Sanford Bishop,D,59.1,Georgia,02,True,True,"1,540,683","1,440,571"
265,Don Cole,R,40.9,Georgia,02,False,False,"164,274","162,522"
266,Drew Ferguson,R,65.0,Georgia,03,True,True,"2,374,212","2,150,911"
267,Val Almonord,D,35.0,Georgia,03,False,False,"35,762","31,946"
268,Hank Johnson,D,80.1,Georgia,04,True,True,"628,303","490,360"
269,Johsira C.,R,19.9,Georgia,04,False,False,"12,954","23,146"
270,Robert Franklin,D,0,Georgia,05,False,False,"360,473","358,394"
271,Kwanza Hall,D,0,Georgia,05,False,False,"239,597","227,091"
272,Chase Oliver,L,0,Georgia,05,False,False,"9,225","5,220"
273,Steven Muhammad,I,0,Georgia,05,False,False,"3,497","$4,965"
274,Lucy McBath,D,54.6,Georgia,06,True,True,"8,507,298","8,586,054"
275,Karen Handel,R,45.4,Georgia,06,False,False,"3,026,243","3,072,932"
276,Carolyn Bourdeaux,D,54.4,Georgia,07,False,True,"5,133,244","5,161,230"
277,Richard McCormick,R,48.6,Georgia,07,False,False,"2,595,446","2,563,724"
278,Austin Scott,R,64.5,Georgia,08,True,True,"821,745","716,159"
279,Jimmy Cooper,3,35.5,Georgia,08,False,False,"8,542","8,528"
280,Lindsay Holliday,D,0,Georgia,08,False,False,"7,480","5,220"
281,Andrew Clyde,R,78.6,Georgia,09,False,True,"1,569,425","1,561,316"
282,Devin Pandy,D,21.4,Georgia,09,False,False,"84,272","84,623"
283,Jody Hice,R,62.3,Georgia,10,True,True,"595,947","457,648"
284,Tabitha Johnson-Green,D,37.7,Georgia,10,False,False,"14,808","12,214"
285,Barry Loudermilk,R,60.4,Georgia,11,True,True,"877,767","700,851"
286,Dana Barrett,D,39.6,Georgia,11,False,False,"404,625","394,977"
287,Richard W,R,58.4,Georgia,12,True,True,"1,228,970","662,818"
288,Liz Johnson,D,41.6,Georgia,12,False,False,"72,061","72,061"
289,David Scott,D,77.4,Georgia,13,True,True,"1,209,614","1,131,746"
290,Becky Hites,R,22.6,Georgia,13,False,False,"63,509","62,935"
291,Martin Cowen,L,0,Georgia,13,False,False,"13,460","13,464"
292,Marjorie Taylor,R,74.8,Georgia,14,False,True,"2,596,914","2,237,599"
293,Ed Case,D,64.7,Hawaii,01,True,False,"508,249","472,569"
294,Ron Curtis,R,25.1,Hawaii,01,False,False,"12,538","12,647"
295,Kai Kahele,D,57.9,Hawaii,02,False,True,"1,235,523","1,039,637"
296,Joe Akana,R,28.3,Hawaii,02,False,False,"54,534","55,344"
297,Jonathan Hoomanawanui,3,2.2,Hawaii,02,False,False,"1,883","1,522"
298,James E,R,62.6,Idaho,2020,True,True,"3,321,170","2,271,880"
299,Paulette Jordan,D,33.3,Idaho,2020,False,False,"1,111,148","1,095,995"
300,Ray J.,3,1.2,Idaho,2020,False,False,"4,190","3,311"
301,Russ Fulcher,R,67.8,Idaho,01,True,True,"575,485","508,457"
302,Rudy Soto,D,28.7,Idaho,01,False,False,"302,902","302,902"
303,Mike Simpson,R,64.1,Idaho,02,True,True,"1,008,847","1,099,604"
304,Aaron Swisher,D,31.7,Idaho,02,False,False,"70,674","70,268"
305,Dick Durbin,D,54.6,Illinois,2020,True,True,"10,431,747","10,097,276"
306,Willie Wilson,I,4.0,Illinois,2020,False,False,"1,250,621","1,227,349"
307,Mark Curran,R,38.7,Illinois,2020,False,False,"352,283","352,283"
308,Danny Malouf,L,1.8,Illinois,2020,False,False,"12,536","12,179"
309,Bobby Rush,D,73.8,Illinois,01,True,True,"541,435","496,454"
310,Philanise White,R,26.2,Illinois,01,False,False,"6,289","5,048"
311,Robin Kelly,D,78.8,Illinois,02,True,True,"1,634,783","1,108,137"
312,Marie Newman,D,56.4,Illinois,03,False,True,"2,802,093","2,699,323"
313,Mike Fricilone,R,43.6,Illinois,03,False,False,"128,458","127,980"
314,Jesus Garcia,D,16.0,Illinois,04,True,True,"822,846","711,159"
315,Jesus Solorio,R,84.0,Illinois,04,False,False,"2,065",843
316,Mike Quigley,D,70.8,Illinois,05,True,True,"1,171,507","926,655"
317,Sean Casten,D,52.8,Illinois,06,True,True,"5,582,179","5,313,570"
318,Jeanne Ives,R,45.4,Illinois,06,False,False,"3,157,771","3,135,464"
319,Bill Redpath,L,1.7,Illinois,06,False,False,"9,837","9,837"
320,Danny K,D,80.4,Illinois,07,True,True,"544,690","505,506"
321,Tracy Jennings,3,6.2,Illinois,07,False,False,"65,283","65,283"
322,Raja Krishnamoorthi,D,73.2,Illinois,08,True,True,"6,358,878","2,207,703"
323,Jan Schakowsky,D,71.0,Illinois,09,True,True,"1,834,801","1,514,838"
324,Sargis Sangari,R,29.0,Illinois,09,False,False,"35,364","34,715"
325,Brad Schneider,D,63.8,Illinois,10,True,True,"3,459,512","2,873,333"
326,Valerie Ramirez,R,36.2,Illinois,10,False,False,"130,225","64,764"
327,Bill Foster,D,63.3,Illinois,11,True,True,"2,381,354","1,823,906"
328,Rick Laib,R,36.7,Illinois,11,False,False,"20,343","20,064"
329,Mike Bost,R,60.6,Illinois,12,True,True,"1,918,041","1,509,573"
330,Ray Lenzi,D,39.4,Illinois,12,False,False,"161,324","104,809"
331,Rodney Davis,R,54.4,Illinois,13,True,True,"4,943,459","4,822,600"
332,Betsy Dirksen,D,45.6,Illinois,13,False,False,"5,297,007","5,281,880"
333,Lauren A,D,50.7,Illinois,14,True,True,"7,803,579","7,301,503"
334,Jim Oberweis,R,49.3,Illinois,14,False,False,"2,438,857","2,348,798"
335,Mary Miller,R,73.5,Illinois,15,False,True,"689,057","570,356"
336,Erika Weaver,D,26.5,Illinois,15,False,False,"58,689","23,349"
337,Adam Kinzinger,R,64.8,Illinois,16,True,True,"2,105,736","1,588,550"
338,Dani Brzozowski,D,35.2,Illinois,16,False,False,"459,344","376,167"
339,Cheri Bustos,D,52.0,Illinois,17,True,True,"4,975,192","6,391,009"
340,Esther Joy,R,48.0,Illinois,17,False,False,"2,032,878","2,030,587"
341,Darin LaHood,R,70.5,Illinois,18,True,True,"3,248,113","1,749,128"
342,Frank Mrvan,D,56.6,Indiana,01,False,True,"578,635","464,407"
343,Mark Leyva,R,40.4,Indiana,01,False,False,"16,551","15,343"
344,Jackie Walorski,R,61.5,Indiana,02,True,True,"2,383,467","1,698,202"
345,Pat Hackett,D,38.5,Indiana,02,False,False,"881,888","867,301"
346,Jim Banks,R,67.8,Indiana,03,True,True,"1,202,509","769,591"
347,Chip Coldiron,D,32.2,Indiana,03,False,False,"94,056","89,883"
348,Jim Baird,R,66.6,Indiana,04,True,True,"327,727","190,158"
349,Joe Mackey,D,33.4,Indiana,04,False,False,"44,585","43,213"
350,Christina Hale,D,45.9,Indiana,05,False,False,"4,010,368","3,998,905"
351,Victoria Spartz,R,50.0,Indiana,05,False,True,"3,119,328","3,010,203"
352,Greg Pence,R,68.7,Indiana,06,True,True,"3,114,448","2,804,148"
353,Jeannine Lee,D,27.7,Indiana,06,False,False,"143,089","145,315"
354,Andre Carson,D,62.4,Indiana,07,True,True,"1,011,635","873,962"
355,Susan Marie,R,37.6,Indiana,07,False,False,"62,905","59,843"
356,Larry Bucshon,R,66.9,Indiana,08,True,True,"1,051,336","1,078,646"
357,Thomasina Marsili,D,29.8,Indiana,08,False,False,"68,734","68,480"
358,Trey Hollingsworth,R,60.9,Indiana,09,True,True,"1,166,754","501,136"
359,Andy Ruff,D,34.8,Indiana,09,False,False,"148,263","134,906"
360,Tonya Millis,L,4.3,Indiana,09,False,False,"10,224","10,041"
361,Joni Ernst,R,51.8,Iowa,2020,True,True,"30,345,910","29,945,779"
362,Theresa Greenfield,D,45.2,Iowa,2020,False,False,"55,592,603","55,562,367"
363,Suzanne Herzog,I,0.8,Iowa,2020,False,False,"18,300","18,300"
364,Rick Stewart,L,2.2,Iowa,2020,False,False,"8,820","16,093"
365,Abby Finkenauer,D,48.7,Iowa,01,True,False,"5,901,441","5,875,405"
366,Ashley Hinson,R,51.3,Iowa,01,False,True,"5,175,883","5,059,211"
367,Rita Hart,D,50.0,Iowa,02,False,False,"4,232,992","4,114,400"
368,Mariannette Miller-Meeks,R,50.0,Iowa,02,False,True,"2,174,194","1,721,926"
369,Cindy Axne,D,49.0,Iowa,03,True,True,"6,236,976","6,236,994"
370,David Young,R,47.6,Iowa,03,False,False,"3,170,072","3,094,582"
371,J.D. Scholten,D,62.1,Iowa,04,False,False,"2,885,915","2,902,003"
372,Randy Feenstra,R,37.9,Iowa,04,False,True,"1,906,234","1,894,288"
373,Barbara Bollier,D,41.6,Kansas,2020,False,False,"28,662,913","28,499,933"
374,Roger Marshall,R,53.5,Kansas,2020,False,True,"6,609,476","7,007,803"
375,Tracey Mann,R,71.4,Kansas,01,False,True,"1,403,353","1,127,156"
376,Kali Barnett,D,28.6,Kansas,01,False,False,"603,036","592,924"
377,Michelle De,D,40.5,Kansas,02,False,False,"1,825,085","1,810,968"
378,Jake Laturner,R,55.3,Kansas,02,False,True,"1,593,407","1,578,460"
379,Sharice Davids,D,53.4,Kansas,03,True,True,"5,638,552","5,168,034"
380,Amanda Adkins,R,43.8,Kansas,03,False,False,"2,182,382","2,139,673"
381,Ron Estes,R,64.0,Kansas,04,True,True,"1,993,808","1,420,188"
382,Laura Lombard,D,36.0,Kansas,04,False,False,"264,459","258,684"
383,Mitch McConnell,R,57.8,Kentucky,2020,True,True,"71,351,350","64,787,889"
384,Amy McGrath,D,38.2,Kentucky,2020,False,False,"94,120,557","90,775,744"
385,Brad Barron,L,4.0,Kentucky,2020,False,False,"112,187","16,601"
386,James Comer,R,75.0,Kentucky,01,True,True,"736,116","502,554"
387,Brett Guthrie,R,71.0,Kentucky,02,True,True,"1,412,797","1,566,622"
388,Hank Linderman,D,26.3,Kentucky,02,False,False,"93,388","71,122"
389,Robert Lee,L,2.1,Kentucky,02,False,False,"12,798","7,825"
390,John Yarmuth,D,62.7,Kentucky,03,True,True,"658,295","690,226"
391,Rhonda Palazzo,R,37.3,Kentucky,03,False,False,"46,144","45,668"
392,Thomas Massie,R,67.1,Kentucky,04,True,True,"1,457,316","1,563,275"
393,Alexandra Owensby,D,32.9,Kentucky,04,False,False,"156,174","106,359"
394,Hal Rogers,R,84.2,Kentucky,05,True,True,"664,168","835,781"
395,Andy Barr,R,57.3,Kentucky,06,True,True,"4,536,264","4,316,239"
396,Josh Hicks,D,41.0,Kentucky,06,False,False,"2,936,320","2,935,615"
397,Bill Cassidy,R,59.3,Louisiana,2020,True,True,"11,304,150","10,558,926"
398,Adrian Perkins,D,19.0,Louisiana,2020,False,False,"2,725,722","2,570,823"
399,Peter Wenstrup,D,0.7,Louisiana,2020,False,False,"160,339","148,632"
400,Dartanyon Williams,D,2.6,Louisiana,2020,False,False,"111,316","98,114"
401,Antoine Pierce,D,1.9,Louisiana,2020,False,False,"100,627","54,892"
402,Derrick Edwards,D,0.8,Louisiana,2020,False,False,"41,702","37,897"
403,Dustin Murphy,R,0.8,Louisiana,2020,False,False,"12,765","8,694"
404,Beryl Billiot,I,0.6,Louisiana,2020,False,False,"6,375","6,375"
405,John Paul,I,0,Louisiana,2020,False,False,"3,500","3,400"
406,Aaron Sigler,L,0,Louisiana,2020,False,False,"3,298","2,647"
407,Steve Scalise,R,72.2,Louisiana,01,True,True,"37,262,827","32,830,607"
408,Cedric Richmond,D,63.6,Louisiana,02,True,True,"1,628,289","1,302,079"
409,Clay Higgins,R,67.8,Louisiana,03,True,True,"751,498","720,424"
410,Robert Jon,D,11.6,Louisiana,03,False,False,"63,617","48,015"
411,Braylon Harris,D,17.9,Louisiana,03,False,False,"23,006","15,130"
412,Mike Johnson,R,60.4,Louisiana,04,True,True,"1,299,787","1,039,393"
413,Kenny Houston,D,25.5,Louisiana,04,False,False,"33,677","33,407"
414,Luke Letlow,R,0,Louisiana,05,False,False,"1,392,822","1,303,757"
415,Lance Harris,R,0,Louisiana,05,False,False,"696,805","687,833"
416,Martin Lemelle,D,0,Louisiana,05,False,False,"173,796","162,747"
417,Scotty Robinson,R,0,Louisiana,05,False,False,"113,903","113,835"
418,Candy Christophe,D,0,Louisiana,05,False,False,"77,101","131,161"
419,Phillip Snowden,D,0,Louisiana,05,False,False,"29,481","28,077"
420,Matthew Hasty,R,0,Louisiana,05,False,False,"2,654","2,615"
421,Garret Graves,R,71.1,Louisiana,06,True,True,"1,743,015","1,200,287"
422,Dartanyon Williams,D,25.6,Louisiana,06,False,False,"111,316","98,114"
423,Susan Collins,R,51.1,Maine,2020,True,True,"29,967,118","29,600,689"
424,Sara Gideon,D,42.2,Maine,2020,False,False,"74,498,517","62,939,062"
425,Max Linn,I,1.7,Maine,2020,False,False,"505,540","490,653"
426,Lisa Savage,3,5.0,Maine,2020,False,False,"208,800","197,255"
427,Chellie Pingree,D,61.5,Maine,01,True,True,"487,080","264,790"
428,Jay Allen,R,38.5,Maine,01,False,False,"79,585","69,853"
429,Jared Golden,D,52.9,Maine,02,True,True,"5,272,142","5,233,990"
430,Dale Crafts,R,47.1,Maine,02,False,False,"1,199,805","1,196,117"
431,Andy Harris,R,63.5,Maryland,01,True,True,"1,468,096","973,953"
432,Mia Mason,D,36.3,Maryland,01,False,False,"2,524",0
433,Dutch Ruppersberger,D,67.2,Maryland,02,True,True,"1,012,835","927,353"
434,Johnny Ray,R,32.6,Maryland,02,False,False,"68,320","66,895"
435,John Sarbanes,D,69.5,Maryland,03,True,True,"573,599","687,299"
436,Charles Anthony,R,30.3,Maryland,03,False,False,"7,798","6,742"
437,Anthony Brown,D,79.3,Maryland,04,True,True,"1,446,636","846,827"
438,Steny H,D,68.5,Maryland,05,True,True,"4,587,189","4,342,255"
439,Chris Palombi,R,31.2,Maryland,05,False,False,"43,462","42,095"
440,David Trone,D,57.9,Maryland,06,True,True,"2,944,893","2,959,748"
441,Neil Parrott,R,40.2,Maryland,06,False,False,"315,936","261,259"
442,Kimberly Klacik,R,0,Maryland,07,False,False,"8,296,845","7,499,454"
443,Kweisi Mfume,D,0,Maryland,07,False,True,"1,014,126","713,389"
444,Kweisi Mfume,D,71.6,Maryland,07,True,True,"1,014,126","713,389"
445,Kimberly Klacik,R,28.1,Maryland,07,False,False,"8,296,845","7,499,454"
446,Amber Ivey,I,0,Maryland,07,False,False,"41,924","43,394"
447,Jamie Raskin,D,67.3,Maryland,08,True,True,"2,072,652","1,399,252"
448,Gregory Coll,R,32.5,Maryland,08,False,False,"30,876","27,257"
449,Ed Markey,D,66.2,Massachusetts,2020,True,True,"14,031,363","14,616,488"
450,Kevin O'Connor,R,33.0,Massachusetts,2020,False,False,"937,696","874,733"
451,Edward James,I,0,Massachusetts,2020,False,False,"5,625","4,966"
452,Richard E,D,96.5,Massachusetts,01,True,True,"4,949,384","5,873,122"
453,James P,D,65.3,Massachusetts,02,True,True,"1,052,549","1,089,412"
454,Tracy Lovvorn,R,34.6,Massachusetts,02,False,False,"26,311","22,319"
455,Lori Trahan,D,97.7,Massachusetts,03,True,True,"1,449,303","1,232,437"
456,Jake Auchincloss,D,60.8,Massachusetts,04,False,True,"2,608,686","2,150,904"
457,Julie Hall,R,38.9,Massachusetts,04,False,False,"131,603","129,378"
458,Katherine Clark,D,74.3,Massachusetts,05,True,True,"1,788,706","1,514,877"
459,Caroline Colarusso,R,25.6,Massachusetts,05,False,False,"148,635","146,972"
460,Seth Moulton,D,65.4,Massachusetts,06,True,True,"1,289,805","1,802,169"
461,John Paul,R,34.4,Massachusetts,06,False,False,"300,220","299,104"
462,Ayanna Pressley,D,86.6,Massachusetts,07,True,True,"2,163,370","1,748,432"
463,Stephen Lynch,D,80.7,Massachusetts,08,True,True,"905,614","1,134,662"
464,Bill Keating,D,61.3,Massachusetts,09,True,True,"708,680","652,448"
465,Helen Brady,R,36.3,Massachusetts,09,False,False,"28,233","23,735"
466,Gary Peters,D,49.9,Michigan,2020,True,True,"51,566,900","49,991,665"
467,John James,R,48.3,Michigan,2020,False,False,"48,616,697","47,513,284"
468,John Bergman,R,61.6,Michigan,01,True,True,"1,868,512","1,733,466"
469,Dana Ferguson,D,36.9,Michigan,01,False,False,"346,213","339,788"
470,Bill Huizenga,R,59.2,Michigan,02,True,True,"2,175,411","1,883,610"
471,Bryan Berghoef,D,38.2,Michigan,02,False,False,"751,576","669,864"
472,Jean-Michel Creviere,3,0.7,Michigan,02,False,False,281,"1,207"
473,Hillary Scholten,D,47.0,Michigan,03,False,False,"3,793,132","3,765,942"
474,Peter Meijer,R,53.0,Michigan,03,False,True,"2,975,972","2,887,774"
475,John Moolenaar,R,65.0,Michigan,04,True,True,"1,528,612","1,036,160"
476,Jerry Hilliard,D,32.4,Michigan,04,False,False,"23,117","23,603"
477,Dan Kildee,D,54.5,Michigan,05,True,True,"1,669,951","1,504,094"
478,Tim Kelly,R,41.7,Michigan,05,False,False,"71,106","71,106"
479,Fred Upton,R,55.8,Michigan,06,True,True,"3,616,380","3,464,617"
480,Jon Hoadley,D,40.1,Michigan,06,False,False,"3,116,491","3,098,366"
481,Tim Walberg,R,58.8,Michigan,07,True,True,"2,301,635","1,586,358"
482,Gretchen Driskell,D,41.3,Michigan,07,False,False,"1,712,840","1,712,840"
483,Elissa Slotkin,D,50.9,Michigan,08,True,True,"8,967,420","7,419,974"
484,Paul Junge,R,47.3,Michigan,08,False,False,"2,107,608","2,097,131"
485,Andy Levin,D,57.8,Michigan,09,True,True,"1,316,607","907,237"
486,Lisa McClain,R,66.3,Michigan,10,False,True,"2,266,287","2,137,031"
487,Kimberly Bizon,D,33.7,Michigan,10,False,False,"41,438","41,246"
488,Haley Stevens,D,50.2,Michigan,11,True,True,"5,776,924","5,707,448"
489,Eric Esshaki,R,47.8,Michigan,11,False,False,"1,298,612","1,291,509"
490,Debbie Dingell,D,66.4,Michigan,12,True,True,"1,630,498","1,689,582"
491,Jeff Jones,R,30.7,Michigan,12,False,False,"10,616","9,657"
